Gene	test_allele_count	test_gnomAD_allele_count_iCFgCFadjust	test_P_rvexcaliber_base_iCFgCFadjust
MUC16	1993	352.792332122225	0.0
MUC6	2871	313.019374718447	0.0
PDE4DIP	27	7.36987399780729	6.72384368989309e-05
CSMD3	26	6.35453335221922	0.0001456638494587
LRP1B	29	13.4008856103718	0.0023775498834944
TPR	9	3.401339850382	0.0294604069362761
PTPRD	10	6.03458851585475	0.0988912376597424
NUP98	16	11.3628769547235	0.145477279277119
CYSLTR2	24	16.6465641300504	0.179954446994879
MAP3K13	13	9.1092783462648	0.24134076773355
CREBBP	19	15.4076392951693	0.26118763355271
AFDN	14	11.0380440292326	0.271388362897732
PTCH1	17	14.5617592970103	0.280671869280401
POLQ	12	10.038158815795	0.282414021286553
FLT4	14	12.0353141671054	0.292864026895848
STIL	16	13.8794527542684	0.294012878609171
DDX10	13	11.0900839595619	0.308354654828004
MLH1	16	13.8994737572624	0.324707571030686
CRNKL1	11	9.53395308018573	0.32692053469175
GRIN2A	12	10.5799124552201	0.338505121883041
SETD2	13	11.0770581630115	0.343452165711011
BLM	14	12.4536478023932	0.351622500757965
LIFR	11	9.78948982573962	0.352755119344292
NOTCH2	15	13.6351237518826	0.356727994902073
MUTYH	10	8.79786799012359	0.362946030460611
ATR	7	6.08112414485935	0.363022964497657
DICER1	17	15.0451571125775	0.36707537817134
PRDM2	14	12.7648101659187	0.372529618883665
BCR	6	5.22473511318313	0.374966102685228
ZFHX3	36	32.8676749277726	0.376037909555323
N4BP2	10	8.86960698568396	0.376910171235869
SNX29	12	10.959521966447	0.380045535272586
TRRAP	4	3.4072941823162	0.380961740690992
ABL2	8	7.07849328669622	0.381135126797253
ZEB1	7	6.0125612352083	0.38848299877014
KMT2A	17	15.743148513128	0.389989385828572
TET2	8	6.81808904051676	0.392455106275594
CSF3R	15	14.0201821188099	0.395911600909277
EP300	17	15.8821832287207	0.403451995892091
BRD4	14	13.1026485440529	0.403583563495403
CNTRL	13	12.1646127506466	0.406826079052334
PDGFRB	9	8.31414674104037	0.408706164418416
GOLGA5	4	3.54087510231098	0.408853025149797
LATS1	15	14.148126112177	0.409347351932609
MSH6	13	12.0791429235586	0.41182207257062
NCOR1	11	10.2850474569452	0.413482828423569
WNK2	7	6.44514687020476	0.414641167088748
ARHGEF10	8	7.41694182732484	0.417519096101568
ZMYM2	8	7.36922944730296	0.417801333912492
MYH11	11	10.3320919227803	0.419153510693544
TET1	12	11.313867505279	0.420237387783509
ASPSCR1	8	7.4397136111918	0.420722431085078
CDH1	4	3.60505368289196	0.421375444271054
CSF1R	10	9.40237130402694	0.424263304213213
SLC34A2	11	10.3799004586948	0.424810138179842
DCC	9	8.44137011027099	0.425433833381158
ELN	8	7.42896990333058	0.427836513472915
CIITA	4	3.66345374308222	0.432940580953625
CHD2	5	4.64810322588521	0.437103007831148
PDCD1LG2	4	3.68733791536683	0.437631516021764
MAP3K1	7	6.4551020948053	0.437753845520248
MACC1	6	5.63283188820555	0.440038508647008
PLCG1	5	4.67148043998467	0.441345025071011
ZNRF3	6	5.64591246807694	0.442201751311246
CDH10	5	4.62694091366549	0.443770594074272
AFF1	10	9.57061997414334	0.445313387226709
BIRC3	5	4.69682067017792	0.445794302428039
IL6ST	7	6.65015363065063	0.44587624293766
TSHR	7	6.62565101150753	0.448454123242849
FLT3	5	4.71752387917065	0.449455065850245
FANCC	10	9.60188052336709	0.453814242250516
UBR5	7	6.67619887323764	0.456094646713823
FBLN2	9	8.70219821375269	0.460001476635585
ARID1A	10	9.66712022053037	0.460036823243434
KNL1	9	8.62068937318375	0.460315284018545
HOXA9	4	3.80333465975154	0.460699147748851
RAD50	10	9.70550038849252	0.462385803382705
JAK1	5	4.79340894156666	0.463013710628214
HIF1A	6	5.78524122870097	0.464863944352071
PTPRK	7	6.77527334784835	0.465875341548293
SOS1	5	4.81538606883654	0.466237941631931
APOBEC3B	5	4.78126985483381	0.466937033324864
CDH17	4	3.84351731363522	0.468072209546037
ALK	4	3.85097147286143	0.469563140544014
POLE	16	15.7241892925931	0.475000468639672
DAXX	4	3.88016043533596	0.476013751710497
BCL2L12	7	6.84580276510172	0.476573620691727
KAT6A	10	9.81493832863662	0.478501014513746
KIF5B	6	5.88378666802592	0.480959035761726
ROBO2	8	7.8665666046452	0.481008373296425
CD274	6	5.88739445546028	0.481525542692049
TCF3	6	5.87298799481578	0.481997763498686
AXIN2	11	10.8717179340076	0.484367131846301
COL3A1	5	4.92647998649845	0.486528004703752
PTPRT	7	6.91393029397144	0.486908630125882
CUX1	7	6.91792098904657	0.487524253728532
ASXL1	11	10.9186185426482	0.489864223323133
NFE2L2	7	6.94089276712674	0.491022424027442
NF1	7	6.94062238966188	0.491790753306577
ANK1	17	16.9197848307516	0.492204737831392
AFF4	4	3.97380903040542	0.494643488462107
NCOA1	5	4.97707904922088	0.495885545213631
MUC1	4	3.9826911423004	0.496533625700593
TMPRSS2	4	3.98118700562258	0.496929607700094
CHST11	7	6.98372829571798	0.497471277499881
FGFR4	7	6.98873751359959	0.498439810138576
